V,3.2.14,2015-10-23 23:12:43 +0900,/cygdrive/e/Prog/BLE/nRF51_SDK_9.0.0_2e23562/projects/adc_test/nrf51822/s110/armgcc/adlint
W,../../../../services/service_if.h,19,1,c_builtin,W0576,UNC,X99,基本ソース文字集合に含まれない文字が、ソースファイル `../../../../services/service_if.h' のコメントの中で使われています。
W,../../../../services/service_if.h,36,8,c_builtin,W0511,UNC,X99,C++ コメント `//' が使われています。
W,../../../../services/service_if.c,4,1,c_builtin,W0026,UNC,X99,`/cygdrive/c/Winappli/arm-gcc/gcc-arm-none-eabi-4_9-2015q1-20150306-win32/lib/gcc/arm-none-eabi/4.9.3/include/stdint.h' は、既にこのファイルから間接的にインクルードされています。
E,/usr/include/sys/cdefs.h,275,21,core,E0007,ERR,X99,条件式中のトークン `(' で構文エラーを検出しました。条件式を偽として評価します。
E,/usr/include/sys/cdefs.h,291,21,core,E0007,ERR,X99,条件式中のトークン `(' で構文エラーを検出しました。条件式を偽として評価します。
E,/usr/include/sys/cdefs.h,307,23,core,E0007,ERR,X99,条件式中のトークン `(' で構文エラーを検出しました。条件式を偽として評価します。
E,/usr/include/sys/cdefs.h,320,21,core,E0007,ERR,X99,条件式中のトークン `(' で構文エラーを検出しました。条件式を偽として評価します。
W,../../../../services/ble_adconvert_service.h,6,1,c_builtin,W0025,UNC,X99,`/cygdrive/c/Winappli/arm-gcc/gcc-arm-none-eabi-4_9-2015q1-20150306-win32/lib/gcc/arm-none-eabi/4.9.3/include/stdint.h' は、既にこのファイルから直接インクルードされています。
W,../../../../services/ble_adconvert_service.h,6,1,c_builtin,W0026,UNC,X99,`/cygdrive/c/Winappli/arm-gcc/gcc-arm-none-eabi-4_9-2015q1-20150306-win32/lib/gcc/arm-none-eabi/4.9.3/include/stdint.h' は、既にこのファイルから間接的にインクルードされています。
W,../../../../services/ble_adconvert_service.h,8,1,c_builtin,W0026,UNC,X99,`../../../../../../components/softdevice/s110/headers/ble.h' は、既にこのファイルから間接的にインクルードされています。
W,../../../../services/ble_adconvert_service.h,22,1,c_builtin,W0511,UNC,X99,C++ コメント `//' が使われています。
W,../../../../services/ble_adconvert_service.h,106,8,c_builtin,W0511,UNC,X99,C++ コメント `//' が使われています。
W,../../../../services/service_if.c,35,13,c_builtin,W0511,UNC,X99,C++ コメント `//' が使われています。
W,../../../../services/service_if.c,52,5,c_builtin,W0511,UNC,X99,C++ コメント `//' が使われています。
E,../../../../../../components/softdevice/s110/headers/ble_gap.h,935,120,core,E0018,ERR,X99,大域スコープに余分なセミコロンが見つかりました。
E,../../../../../../components/softdevice/s110/headers/ble_gap.h,945,89,core,E0018,ERR,X99,大域スコープに余分なセミコロンが見つかりました。
E,../../../../../../components/softdevice/s110/headers/ble_gap.h,972,146,core,E0018,ERR,X99,大域スコープに余分なセミコロンが見つかりました。
